DataType,Size,Ratio,Algorithm,CPU_MeanTime(ns),CPU_StdDeviation(ns),CPU_AllSorted,CUDA_MeanTime(ns),CUDA_StdDeviation(ns),CUDA_AllSorted,Speedup
AlmostInverted,2,0,bubble_sort,124,28.322,true,1.30164e+06,123727,true,9.52646e-05
AlmostInverted,2,0,merge_sort,416,54.8063,true,1.26824e+06,37857.4,true,0.000328012
AlmostInverted,2,0,counting_sort,138,27.9428,true,1.28922e+06,39631,true,0.000107041
AlmostInverted,2,0,radix_sort,232,42.9325,true,1.36163e+06,39379.8,true,0.000170385
AlmostInverted,2,0,heap_sort,136,29.7904,true,0,0,true,0
AlmostInverted,2,0.0833333,bubble_sort,102,24,true,1.25871e+06,13849.2,true,8.1035e-05
AlmostInverted,2,0.0833333,merge_sort,386,34.0039,true,1.26489e+06,49984.6,true,0.000305166
AlmostInverted,2,0.0833333,counting_sort,114,28.547,true,1.2821e+06,31689.8,true,8.89164e-05
AlmostInverted,2,0.0833333,radix_sort,202,40,true,1.33601e+06,34341.3,true,0.000151197
AlmostInverted,2,0.0833333,heap_sort,130,24.7009,true,0,0,true,0
AlmostInverted,2,0.166667,bubble_sort,104,24.7871,true,1.02139e+06,308814,true,0.000101822
AlmostInverted,2,0.166667,merge_sort,376,41.3118,true,979461,329392,true,0.000383885
AlmostInverted,2,0.166667,counting_sort,130,21.7624,true,1.04602e+06,312108,true,0.000124281
AlmostInverted,2,0.166667,radix_sort,206,23.278,true,1.03029e+06,335323,true,0.000199944
AlmostInverted,2,0.166667,heap_sort,134,24,true,0,0,true,0
AlmostInverted,2,0.25,bubble_sort,108,25.7992,true,584492,163940,true,0.000184776
AlmostInverted,2,0.25,merge_sort,380,30.6377,true,563549,143068,true,0.000674298
AlmostInverted,2,0.25,counting_sort,142,23.278,true,677677,233480,true,0.000209539
AlmostInverted,2,0.25,radix_sort,190,31.9333,true,619401,159755,true,0.000306748
AlmostInverted,2,0.25,heap_sort,130,18.3594,true,0,0,true,0
AlmostInverted,2,0.333333,bubble_sort,110,20.1329,true,439439,75602.3,true,0.000250319
AlmostInverted,2,0.333333,merge_sort,372,45.0659,true,578252,170864,true,0.000643319
AlmostInverted,2,0.333333,counting_sort,130,24.7009,true,501971,157433,true,0.000258979
AlmostInverted,2,0.333333,radix_sort,218,33.4983,true,519498,109323,true,0.000419636
AlmostInverted,2,0.333333,heap_sort,138,27.9428,true,0,0,true,0
AlmostInverted,2,0.416667,bubble_sort,112,16.5247,true,427677,72668.4,true,0.00026188
AlmostInverted,2,0.416667,merge_sort,386.062,29.787,true,475238,137719,true,0.000812356
AlmostInverted,2,0.416667,counting_sort,126,29.7187,true,542868,162458,true,0.000232101
AlmostInverted,2,0.416667,radix_sort,210,26.0461,true,538422,123960,true,0.000390028
AlmostInverted,2,0.416667,heap_sort,126,24.7009,true,0,0,true,0
AlmostInverted,4,0,bubble_sort,190,29.7187,true,690511,16017.6,true,0.000275158
AlmostInverted,4,0,merge_sort,982.062,68.8287,true,466820,20185.3,true,0.00210373
AlmostInverted,4,0,counting_sort,150,25.3824,true,408246,30855.4,true,0.000367426
AlmostInverted,4,0,radix_sort,308,53.3866,true,593698,50394.9,true,0.000518782
AlmostInverted,4,0,heap_sort,212,23.0014,true,0,0,true,0
AlmostInverted,4,0.0833333,bubble_sort,208,35.0542,true,694399,14520.7,true,0.000299539
AlmostInverted,4,0.0833333,merge_sort,946,48.1331,true,466110,11386.2,true,0.00202956
AlmostInverted,4,0.0833333,counting_sort,142,30.8459,true,407258,16277.9,true,0.000348674
AlmostInverted,4,0.0833333,radix_sort,330,64.7621,true,593260,51198.3,true,0.000556248
AlmostInverted,4,0.0833333,heap_sort,218,40.8444,true,0,0,true,0
AlmostInverted,4,0.166667,bubble_sort,194,39.571,true,683795,19638.7,true,0.000283711
AlmostInverted,4,0.166667,merge_sort,950,75.4718,true,466084,10756.3,true,0.00203826
AlmostInverted,4,0.166667,counting_sort,146,26.0461,true,410788,27121,true,0.000355414
AlmostInverted,4,0.166667,radix_sort,310,38.2553,true,595940,53974.5,true,0.000520186
AlmostInverted,4,0.166667,heap_sort,212,30.6377,true,0,0,true,0
AlmostInverted,4,0.25,bubble_sort,212,46.5561,true,686457,12758,true,0.000308832
AlmostInverted,4,0.25,merge_sort,972,69.9867,true,462072,15293.7,true,0.00210357
