DataType,Size,Ratio,Algorithm,CPU_MeanTime(ns),CPU_StdDeviation(ns),CPU_AllSorted,CUDA_MeanTime(ns),CUDA_StdDeviation(ns),CUDA_AllSorted,Speedup
AlmostSorted,2,0,bubble_sort,132,145.884,true,7.02205e+06,2.33722e+07,true,1.87979e-05
AlmostSorted,2,0,merge_sort,568,678.873,true,1.25474e+06,168230,true,0.000452685
AlmostSorted,2,0,counting_sort,174,123.089,true,1.23426e+06,23957.5,true,0.000140975
AlmostSorted,2,0,radix_sort,310,237.381,true,1.21632e+06,55148.7,true,0.000254868
AlmostSorted,2,0,heap_sort,218,209.095,true,0,0,true,0
AlmostSorted,2,0.0833333,bubble_sort,114,30.8459,true,1.25718e+06,39628.5,true,9.06789e-05
AlmostSorted,2,0.0833333,merge_sort,396,64.9266,true,1.25279e+06,26202,true,0.000316095
AlmostSorted,2,0.0833333,counting_sort,146,23.278,true,1.26904e+06,47187.8,true,0.000115047
AlmostSorted,2,0.0833333,radix_sort,218,35.4777,true,1.32231e+06,45173.2,true,0.000164863
AlmostSorted,2,0.0833333,heap_sort,160,23.3695,true,0,0,true,0
AlmostSorted,2,0.166667,bubble_sort,96,20.2386,true,1.31466e+06,178014,true,7.30225e-05
AlmostSorted,2,0.166667,merge_sort,362,34.5022,true,1.26929e+06,42130.9,true,0.000285199
AlmostSorted,2,0.166667,counting_sort,128,23.3695,true,1.29413e+06,38395.7,true,9.89081e-05
AlmostSorted,2,0.166667,radix_sort,210.062,30.8771,true,1.37347e+06,56307.1,true,0.000152943
AlmostSorted,2,0.166667,heap_sort,154,26.6933,true,0,0,true,0
AlmostSorted,2,0.25,bubble_sort,90,24,true,1.27057e+06,23092.8,true,7.08344e-05
AlmostSorted,2,0.25,merge_sort,360.125,31.9685,true,1.25953e+06,21458,true,0.00028592
AlmostSorted,2,0.25,counting_sort,132,32.7902,true,1.27976e+06,43678.2,true,0.000103145
AlmostSorted,2,0.25,radix_sort,220,36.7188,true,1.34448e+06,43372.2,true,0.000163632
AlmostSorted,2,0.25,heap_sort,142,26.0461,true,0,0,true,0
AlmostSorted,2,0.333333,bubble_sort,78,16.3951,true,1.26542e+06,15460.5,true,6.16397e-05
AlmostSorted,2,0.333333,merge_sort,346.062,39.0939,true,1.25644e+06,20368.2,true,0.00027543
AlmostSorted,2,0.333333,counting_sort,116,25.7992,true,1.2736e+06,27671.5,true,9.10806e-05
AlmostSorted,2,0.333333,radix_sort,220,28.322,true,1.33609e+06,36610.3,true,0.000164659
AlmostSorted,2,0.333333,heap_sort,168,32,true,0,0,true,0
AlmostSorted,2,0.416667,bubble_sort,90,20.9635,true,1.26355e+06,34755.6,true,7.12277e-05
AlmostSorted,2,0.416667,merge_sort,346,26.6933,true,1.25387e+06,17582.6,true,0.000275946
AlmostSorted,2,0.416667,counting_sort,134,33.4983,true,1.27163e+06,19890,true,0.000105377
AlmostSorted,2,0.416667,radix_sort,212,32.7902,true,1.34118e+06,31363.7,true,0.00015807
AlmostSorted,2,0.416667,heap_sort,142,23.278,true,0,0,true,0
AlmostSorted,4,0,bubble_sort,118,82.3909,true,693790,25906.9,true,0.00017008
AlmostSorted,4,0,merge_sort,972,317.188,true,494533,91169.8,true,0.00196549
AlmostSorted,4,0,counting_sort,156,43.5247,true,432791,49401.4,true,0.000360451
AlmostSorted,4,0,radix_sort,358,159.88,true,601142,68027.6,true,0.000595533
AlmostSorted,4,0,heap_sort,280,66.6133,true,0,0,true,0
AlmostSorted,4,0.0833333,bubble_sort,148,43.5247,true,697740,39205.1,true,0.000212114
AlmostSorted,4,0.0833333,merge_sort,894.062,46.0528,true,472606,16295.4,true,0.00189177
AlmostSorted,4,0.0833333,counting_sort,136,24.7871,true,420598,29317.5,true,0.000323349
AlmostSorted,4,0.0833333,radix_sort,378,111.599,true,593414,21923.3,true,0.000636992
AlmostSorted,4,0.0833333,heap_sort,282,31.3943,true,0,0,true,0
AlmostSorted,4,0.166667,bubble_sort,134,29.1387,true,694676,22597.6,true,0.000192896
AlmostSorted,4,0.166667,merge_sort,894.062,39.4672,true,472820,20294.3,true,0.00189091
AlmostSorted,4,0.166667,counting_sort,118.062,19.3027,true,416328,27650.4,true,0.00028358
AlmostSorted,4,0.166667,radix_sort,322,41.2602,true,584214,35471.5,true,0.000551168
AlmostSorted,4,0.166667,heap_sort,268,32.7902,true,0,0,true,0
AlmostSorted,4,0.25,bubble_sort,160,26.1279,true,689487,19127.1,true,0.000232056
AlmostSorted,4,0.25,merge_sort,920.125,67.773,true,464044,26507.8,true,0.00198284
AlmostSorted,4,0.25,counting_sort,156,28.322,true,429095,42038.6,true,0.000363556
AlmostSorted,4,0.25,radix_sort,366,59.5449,true,580122,40769.7,true,0.000630902
AlmostSorted,4,0.25,heap_sort,260,55.8856,true,0,0,true,0
AlmostSorted,4,0.333333,bubble_sort,140,32.7902,true,691490,16578.8,true,0.000202461
AlmostSorted,4,0.333333,merge_sort,900.188,66.0234,true,467414,15924.1,true,0.00192589
AlmostSorted,4,0.333333,counting_sort,138,25.3824,true,423627,30166.5,true,0.000325759
AlmostSorted,4,0.333333,radix_sort,300,38.5331,true,614283,86355.1,true,0.000488374
AlmostSorted,4,0.333333,heap_sort,242,46.6933,true,0,0,true,0
AlmostSorted,4,0.416667,bubble_sort,150,22.5329,true,695452,33193.7,true,0.000215687
AlmostSorted,4,0.416667,merge_sort,934.062,61.06,true,458292,10529.1,true,0.00203814
AlmostSorted,4,0.416667,counting_sort,140.062,23.0607,true,413240,30864.6,true,0.000338937
AlmostSorted,4,0.416667,radix_sort,308.062,41.9467,true,611693,95622.2,true,0.000503623
AlmostSorted,4,0.416667,heap_sort,224,40.4772,true,0,0,true,0
AlmostSorted,8,0,bubble_sort,130,39.571,true,1.87244e+06,24760.7,true,6.94283e-05
AlmostSorted,8,0,merge_sort,1874.06,179.462,true,570041,11657.8,true,0.00328759
AlmostSorted,8,0,counting_sort,206,58.3872,true,421176,21004.7,true,0.000489106
AlmostSorted,8,0,radix_sort,608.125,156.563,true,606751,29100.7,true,0.00100227
AlmostSorted,8,0,heap_sort,540,96.9728,true,0,0,true,0
AlmostSorted,8,0.0833333,bubble_sort,220.062,54.6559,true,1.85814e+06,12105.8,true,0.000118432
AlmostSorted,8,0.0833333,merge_sort,1944.06,67.544,true,575685,14440,true,0.00337695
AlmostSorted,8,0.0833333,counting_sort,184.062,29.8093,true,432997,34316,true,0.00042509
AlmostSorted,8,0.0833333,radix_sort,794,120.991,true,618679,38450.6,true,0.00128338
AlmostSorted,8,0.0833333,heap_sort,560,101.193,true,0,0,true,0
AlmostSorted,8,0.166667,bubble_sort,276,28.322,true,1.87107e+06,25411.7,true,0.000147509
AlmostSorted,8,0.166667,merge_sort,2096.06,85.7784,true,570468,10629.2,true,0.00367429
AlmostSorted,8,0.166667,counting_sort,192,30.9149,true,417340,18834.5,true,0.000460056
AlmostSorted,8,0.166667,radix_sort,800.062,135.875,true,619127,37312.2,true,0.00129224
AlmostSorted,8,0.166667,heap_sort,596,70.9554,true,0,0,true,0
AlmostSorted,8,0.25,bubble_sort,274,46.6933,true,1.88393e+06,24950.5,true,0.00014544
AlmostSorted,8,0.25,merge_sort,2084.06,63.9296,true,585850,11932.7,true,0.00355733
AlmostSorted,8,0.25,counting_sort,198.062,23.9846,true,428803,22542.1,true,0.000461897
AlmostSorted,8,0.25,radix_sort,684,143.525,true,640466,39969.5,true,0.00106797
AlmostSorted,8,0.25,heap_sort,532,96.2663,true,0,0,true,0
AlmostSorted,8,0.333333,bubble_sort,354.062,31.9301,true,1.87929e+06,22787.1,true,0.000188402
AlmostSorted,8,0.333333,merge_sort,2162.12,69.0631,true,579510,14895.2,true,0.00373096
AlmostSorted,8,0.333333,counting_sort,190,27.3252,true,421584,26390.7,true,0.000450681
AlmostSorted,8,0.333333,radix_sort,800,124.211,true,637548,35726.5,true,0.00125481
AlmostSorted,8,0.333333,heap_sort,576.062,49.6178,true,0,0,true,0
AlmostSorted,8,0.416667,bubble_sort,372.062,66.9452,true,1.87331e+06,25583.6,true,0.000198612
AlmostSorted,8,0.416667,merge_sort,2098.06,96.9828,true,569907,20213.2,true,0.00368141
AlmostSorted,8,0.416667,counting_sort,182.062,34.5224,true,410192,19843.1,true,0.000443847
AlmostSorted,8,0.416667,radix_sort,796,88.8924,true,625151,34097.5,true,0.00127329
AlmostSorted,8,0.416667,heap_sort,574.062,56.5715,true,0,0,true,0
AlmostSorted,16,0,bubble_sort,172,40.2658,true,6.91521e+06,286714,true,2.48727e-05
AlmostSorted,16,0,merge_sort,4118.12,163.203,true,883418,200214,true,0.00466158
AlmostSorted,16,0,counting_sort,310,36.4271,true,497749,210882,true,0.000622804
AlmostSorted,16,0,radix_sort,1058,151.212,true,822512,259523,true,0.0012863
AlmostSorted,16,0,heap_sort,1128.12,193.852,true,0,0,true,0
