DataType,Size,Ratio,Algorithm,MeanTime(ns),StdDeviation(ns),AllSorted
AlmostInverted,2,0,bubble_sort,124,28.322,true
AlmostInverted,2,0,merge_sort,416,54.8063,true
AlmostInverted,2,0,counting_sort,138,27.9428,true
AlmostInverted,2,0,radix_sort,232,42.9325,true
AlmostInverted,2,0,heap_sort,136,29.7904,true
AlmostInverted,2,0,insertion_sort,108.062,23.0607,true
AlmostInverted,2,0,selection_sort,112,16.5247,true
AlmostInverted,2,0,shell_sort,168,27.4032,true
AlmostInverted,2,0.0833333,bubble_sort,102,24,true
AlmostInverted,2,0.0833333,merge_sort,386,34.0039,true
AlmostInverted,2,0.0833333,counting_sort,114,28.547,true
AlmostInverted,2,0.0833333,radix_sort,202,40,true
AlmostInverted,2,0.0833333,heap_sort,130,24.7009,true
AlmostInverted,2,0.0833333,insertion_sort,96,20.2386,true
AlmostInverted,2,0.0833333,selection_sort,98,21.7624,true
AlmostInverted,2,0.0833333,shell_sort,156,23.0014,true
AlmostInverted,2,0.166667,bubble_sort,104,24.7871,true
AlmostInverted,2,0.166667,merge_sort,376,41.3118,true
AlmostInverted,2,0.166667,counting_sort,130,21.7624,true
AlmostInverted,2,0.166667,radix_sort,206,23.278,true
AlmostInverted,2,0.166667,heap_sort,134,24,true
AlmostInverted,2,0.166667,insertion_sort,96,20.2386,true
AlmostInverted,2,0.166667,selection_sort,100,19.8125,true
AlmostInverted,2,0.166667,shell_sort,154,20.9635,true
AlmostInverted,2,0.25,bubble_sort,108,25.7992,true
AlmostInverted,2,0.25,merge_sort,380,30.6377,true
AlmostInverted,2,0.25,counting_sort,142,23.278,true
AlmostInverted,2,0.25,radix_sort,190,31.9333,true
AlmostInverted,2,0.25,heap_sort,130,18.3594,true
AlmostInverted,2,0.25,insertion_sort,90,20.9635,true
AlmostInverted,2,0.25,selection_sort,100,16,true
AlmostInverted,2,0.25,shell_sort,144,16.5247,true
AlmostInverted,2,0.333333,bubble_sort,110,20.1329,true
AlmostInverted,2,0.333333,merge_sort,372,45.0659,true
AlmostInverted,2,0.333333,counting_sort,130,24.7009,true
AlmostInverted,2,0.333333,radix_sort,218,33.4983,true
AlmostInverted,2,0.333333,heap_sort,138,27.9428,true
AlmostInverted,2,0.333333,insertion_sort,104,21.8602,true
AlmostInverted,2,0.333333,selection_sort,92,23.0014,true
AlmostInverted,2,0.333333,shell_sort,148,19.8125,true
AlmostInverted,2,0.416667,bubble_sort,112,16.5247,true
AlmostInverted,2,0.416667,merge_sort,386.062,29.787,true
AlmostInverted,2,0.416667,counting_sort,126,29.7187,true
AlmostInverted,2,0.416667,radix_sort,210,26.0461,true
AlmostInverted,2,0.416667,heap_sort,126,24.7009,true
AlmostInverted,2,0.416667,insertion_sort,92,23.0014,true
AlmostInverted,2,0.416667,selection_sort,90,17.405,true
AlmostInverted,2,0.416667,shell_sort,152,18.4752,true
AlmostInverted,4,0,bubble_sort,190,29.7187,true
AlmostInverted,4,0,merge_sort,982.062,68.8287,true
AlmostInverted,4,0,counting_sort,150,25.3824,true
AlmostInverted,4,0,radix_sort,308,53.3866,true
AlmostInverted,4,0,heap_sort,212,23.0014,true
AlmostInverted,4,0,insertion_sort,148,23.0014,true
AlmostInverted,4,0,selection_sort,162,47.4187,true
AlmostInverted,4,0,shell_sort,204,38.5331,true
AlmostInverted,4,0.0833333,bubble_sort,208,35.0542,true
AlmostInverted,4,0.0833333,merge_sort,946,48.1331,true
AlmostInverted,4,0.0833333,counting_sort,142,30.8459,true
AlmostInverted,4,0.0833333,radix_sort,330,64.7621,true
AlmostInverted,4,0.0833333,heap_sort,218,40.8444,true
AlmostInverted,4,0.0833333,insertion_sort,156,25.7992,true
AlmostInverted,4,0.0833333,selection_sort,184,42.9325,true
AlmostInverted,4,0.0833333,shell_sort,192,28.6217,true
AlmostInverted,4,0.166667,bubble_sort,194,39.571,true
AlmostInverted,4,0.166667,merge_sort,950,75.4718,true
AlmostInverted,4,0.166667,counting_sort,146,26.0461,true
AlmostInverted,4,0.166667,radix_sort,310,38.2553,true
AlmostInverted,4,0.166667,heap_sort,212,30.6377,true
AlmostInverted,4,0.166667,insertion_sort,160,26.1279,true
AlmostInverted,4,0.166667,selection_sort,172,32.7902,true
AlmostInverted,4,0.166667,shell_sort,184.125,29.8996,true
AlmostInverted,4,0.25,bubble_sort,212,46.5561,true
AlmostInverted,4,0.25,merge_sort,972,69.9867,true
AlmostInverted,4,0.25,counting_sort,156,32.7902,true
AlmostInverted,4,0.25,radix_sort,330.062,43.2643,true
AlmostInverted,4,0.25,heap_sort,254.062,24.621,true
AlmostInverted,4,0.25,insertion_sort,168,29.7904,true
AlmostInverted,4,0.25,selection_sort,172.062,30.6126,true
AlmostInverted,4,0.25,shell_sort,212,25.7992,true
AlmostInverted,4,0.333333,bubble_sort,192,43.7203,true
AlmostInverted,4,0.333333,merge_sort,954,60.9612,true
AlmostInverted,4,0.333333,counting_sort,146,23.278,true
AlmostInverted,4,0.333333,radix_sort,308,41.9269,true
AlmostInverted,4,0.333333,heap_sort,252,40.2658,true
AlmostInverted,4,0.333333,insertion_sort,140.062,25.8521,true
AlmostInverted,4,0.333333,selection_sort,158,29.7187,true
AlmostInverted,4,0.333333,shell_sort,196,30.6377,true
AlmostInverted,4,0.416667,bubble_sort,162,34.0039,true
AlmostInverted,4,0.416667,merge_sort,928,52.2558,true
AlmostInverted,4,0.416667,counting_sort,136,24.7871,true
AlmostInverted,4,0.416667,radix_sort,320.125,35.1167,true
AlmostInverted,4,0.416667,heap_sort,240,45.2548,true
AlmostInverted,4,0.416667,insertion_sort,128,20.2386,true
AlmostInverted,4,0.416667,selection_sort,154,29.1387,true
AlmostInverted,4,0.416667,shell_sort,176,23.3695,true
AlmostInverted,8,0,bubble_sort,476.062,45.1198,true
AlmostInverted,8,0,merge_sort,2104,109.924,true
AlmostInverted,8,0,counting_sort,214.062,27.9678,true
AlmostInverted,8,0,radix_sort,570,60.9612,true
AlmostInverted,8,0,heap_sort,450,79.6526,true
AlmostInverted,8,0,insertion_sort,326,53.8244,true
AlmostInverted,8,0,selection_sort,364.062,72.0486,true
AlmostInverted,8,0,shell_sort,346,90.6745,true
AlmostInverted,8,0.0833333,bubble_sort,510,50.2155,true
AlmostInverted,8,0.0833333,merge_sort,2140.06,81.6402,true
AlmostInverted,8,0.0833333,counting_sort,216,27.4032,true
AlmostInverted,8,0.0833333,radix_sort,620.062,91.9974,true
AlmostInverted,8,0.0833333,heap_sort,502,79.0072,true
AlmostInverted,8,0.0833333,insertion_sort,346.062,29.0068,true
AlmostInverted,8,0.0833333,selection_sort,512,95.6438,true
AlmostInverted,8,0.0833333,shell_sort,380,59.4374,true
AlmostInverted,8,0.166667,bubble_sort,556,52.0922,true
AlmostInverted,8,0.166667,merge_sort,2116.06,91.8408,true
AlmostInverted,8,0.166667,counting_sort,198,31.3943,true
AlmostInverted,8,0.166667,radix_sort,670.062,97.3259,true
AlmostInverted,8,0.166667,heap_sort,526,84.2346,true
AlmostInverted,8,0.166667,insertion_sort,334,32.9848,true
AlmostInverted,8,0.166667,selection_sort,464.062,104.481,true
AlmostInverted,8,0.166667,shell_sort,466,101.172,true
AlmostInverted,8,0.25,bubble_sort,528,92.0058,true
AlmostInverted,8,0.25,merge_sort,2092.06,63.8211,true
AlmostInverted,8,0.25,counting_sort,200,34.0666,true
AlmostInverted,8,0.25,radix_sort,634.062,105.288,true
AlmostInverted,8,0.25,heap_sort,522,89.5381,true
AlmostInverted,8,0.25,insertion_sort,308,53.3866,true
AlmostInverted,8,0.25,selection_sort,446,116.537,true
AlmostInverted,8,0.25,shell_sort,350.062,79.8152,true
AlmostInverted,8,0.333333,bubble_sort,572.062,130.527,true
AlmostInverted,8,0.333333,merge_sort,2176.06,348.394,true
AlmostInverted,8,0.333333,counting_sort,208,35.0542,true
AlmostInverted,8,0.333333,radix_sort,752,89.7523,true
AlmostInverted,8,0.333333,heap_sort,540,85.7656,true
AlmostInverted,8,0.333333,insertion_sort,344,39.6249,true
AlmostInverted,8,0.333333,selection_sort,502,64.7621,true
AlmostInverted,8,0.333333,shell_sort,414.062,152.127,true
AlmostInverted,8,0.416667,bubble_sort,584,65.5805,true
AlmostInverted,8,0.416667,merge_sort,2120.06,84.6581,true
AlmostInverted,8,0.416667,counting_sort,206,30.8459,true
AlmostInverted,8,0.416667,radix_sort,748.062,88.7637,true
AlmostInverted,8,0.416667,heap_sort,556,79.1421,true
AlmostInverted,8,0.416667,insertion_sort,296,50.258,true
AlmostInverted,8,0.416667,selection_sort,508,85.7656,true
AlmostInverted,8,0.416667,shell_sort,452.062,55.8432,true
AlmostInverted,16,0,bubble_sort,1616.06,110.321,true
AlmostInverted,16,0,merge_sort,4730.12,146.503,true
AlmostInverted,16,0,counting_sort,338,30.8459,true
AlmostInverted,16,0,radix_sort,968.125,77.1085,true
AlmostInverted,16,0,heap_sort,888.062,137.502,true
AlmostInverted,16,0,insertion_sort,928,102.533,true
AlmostInverted,16,0,selection_sort,944.062,171.96,true
AlmostInverted,16,0,shell_sort,648,121.15,true
AlmostInverted,16,0.0833333,bubble_sort,1746.06,110.841,true
AlmostInverted,16,0.0833333,merge_sort,4720.25,148.537,true
AlmostInverted,16,0.0833333,counting_sort,318,35.9555,true
AlmostInverted,16,0.0833333,radix_sort,1398,177.485,true
AlmostInverted,16,0.0833333,heap_sort,1210.12,146.968,true
AlmostInverted,16,0.0833333,insertion_sort,876,63.8665,true
AlmostInverted,16,0.0833333,selection_sort,1336.06,211.168,true
AlmostInverted,16,0.0833333,shell_sort,888,133.993,true
AlmostInverted,16,0.166667,bubble_sort,1842,103.836,true
AlmostInverted,16,0.166667,merge_sort,4782.19,140.744,true
AlmostInverted,16,0.166667,counting_sort,322,31.9333,true
AlmostInverted,16,0.166667,radix_sort,1572.12,113.076,true
