DataType,Size,Ratio,Algorithm,MeanTime(ns),StdDeviation(ns),AllSorted
AlmostInverted,2,0,cuda_bubble_sort,1.30164e+06,123727,true
AlmostInverted,2,0,cuda_merge_sort,1.26824e+06,37857.4,true
AlmostInverted,2,0,cuda_counting_sort,1.28922e+06,39631,true
AlmostInverted,2,0,cuda_radix_sort,1.36163e+06,39379.8,true
AlmostInverted,2,0,cuda_heap_sort,0,0,true
AlmostInverted,2,0,cuda_insertion_sort,0,0,true
AlmostInverted,2,0,cuda_selection_sort,0,0,true
AlmostInverted,2,0,cuda_shell_sort,0,0,true
AlmostInverted,2,0.0833333,cuda_bubble_sort,1.25871e+06,13849.2,true
AlmostInverted,2,0.0833333,cuda_merge_sort,1.26489e+06,49984.6,true
AlmostInverted,2,0.0833333,cuda_counting_sort,1.2821e+06,31689.8,true
AlmostInverted,2,0.0833333,cuda_radix_sort,1.33601e+06,34341.3,true
AlmostInverted,2,0.0833333,cuda_heap_sort,0,0,true
AlmostInverted,2,0.0833333,cuda_insertion_sort,0,0,true
AlmostInverted,2,0.0833333,cuda_selection_sort,0,0,true
AlmostInverted,2,0.0833333,cuda_shell_sort,0,0,true
AlmostInverted,2,0.166667,cuda_bubble_sort,1.02139e+06,308814,true
AlmostInverted,2,0.166667,cuda_merge_sort,979461,329392,true
AlmostInverted,2,0.166667,cuda_counting_sort,1.04602e+06,312108,true
AlmostInverted,2,0.166667,cuda_radix_sort,1.03029e+06,335323,true
AlmostInverted,2,0.166667,cuda_heap_sort,0,0,true
AlmostInverted,2,0.166667,cuda_insertion_sort,0,0,true
AlmostInverted,2,0.166667,cuda_selection_sort,0,0,true
AlmostInverted,2,0.166667,cuda_shell_sort,0,0,true
AlmostInverted,2,0.25,cuda_bubble_sort,584492,163940,true
AlmostInverted,2,0.25,cuda_merge_sort,563549,143068,true
AlmostInverted,2,0.25,cuda_counting_sort,677677,233480,true
AlmostInverted,2,0.25,cuda_radix_sort,619401,159755,true
AlmostInverted,2,0.25,cuda_heap_sort,0,0,true
AlmostInverted,2,0.25,cuda_insertion_sort,0,0,true
AlmostInverted,2,0.25,cuda_selection_sort,0,0,true
AlmostInverted,2,0.25,cuda_shell_sort,0,0,true
AlmostInverted,2,0.333333,cuda_bubble_sort,439439,75602.3,true
AlmostInverted,2,0.333333,cuda_merge_sort,578252,170864,true
AlmostInverted,2,0.333333,cuda_counting_sort,501971,157433,true
AlmostInverted,2,0.333333,cuda_radix_sort,519498,109323,true
AlmostInverted,2,0.333333,cuda_heap_sort,0,0,true
AlmostInverted,2,0.333333,cuda_insertion_sort,0,0,true
AlmostInverted,2,0.333333,cuda_selection_sort,0,0,true
AlmostInverted,2,0.333333,cuda_shell_sort,0,0,true
AlmostInverted,2,0.416667,cuda_bubble_sort,427677,72668.4,true
AlmostInverted,2,0.416667,cuda_merge_sort,475238,137719,true
AlmostInverted,2,0.416667,cuda_counting_sort,542868,162458,true
AlmostInverted,2,0.416667,cuda_radix_sort,538422,123960,true
AlmostInverted,2,0.416667,cuda_heap_sort,0,0,true
AlmostInverted,2,0.416667,cuda_insertion_sort,0,0,true
AlmostInverted,2,0.416667,cuda_selection_sort,0,0,true
AlmostInverted,2,0.416667,cuda_shell_sort,0,0,true
AlmostInverted,4,0,cuda_bubble_sort,690511,16017.6,true
AlmostInverted,4,0,cuda_merge_sort,466820,20185.3,true
AlmostInverted,4,0,cuda_counting_sort,408246,30855.4,true
AlmostInverted,4,0,cuda_radix_sort,593698,50394.9,true
AlmostInverted,4,0,cuda_heap_sort,0,0,true
AlmostInverted,4,0,cuda_insertion_sort,0,0,true
AlmostInverted,4,0,cuda_selection_sort,0,0,true
AlmostInverted,4,0,cuda_shell_sort,0,0,true
AlmostInverted,4,0.0833333,cuda_bubble_sort,694399,14520.7,true
AlmostInverted,4,0.0833333,cuda_merge_sort,466110,11386.2,true
AlmostInverted,4,0.0833333,cuda_counting_sort,407258,16277.9,true
AlmostInverted,4,0.0833333,cuda_radix_sort,593260,51198.3,true
AlmostInverted,4,0.0833333,cuda_heap_sort,0,0,true
AlmostInverted,4,0.0833333,cuda_insertion_sort,0,0,true
AlmostInverted,4,0.0833333,cuda_selection_sort,0,0,true
AlmostInverted,4,0.0833333,cuda_shell_sort,0,0,true
AlmostInverted,4,0.166667,cuda_bubble_sort,683795,19638.7,true
AlmostInverted,4,0.166667,cuda_merge_sort,466084,10756.3,true
AlmostInverted,4,0.166667,cuda_counting_sort,410788,27121,true
AlmostInverted,4,0.166667,cuda_radix_sort,595940,53974.5,true
AlmostInverted,4,0.166667,cuda_heap_sort,0,0,true
AlmostInverted,4,0.166667,cuda_insertion_sort,0,0,true
AlmostInverted,4,0.166667,cuda_selection_sort,0,0,true
AlmostInverted,4,0.166667,cuda_shell_sort,0,0,true
AlmostInverted,4,0.25,cuda_bubble_sort,686457,12758,true
AlmostInverted,4,0.25,cuda_merge_sort,462072,15293.7,true
AlmostInverted,4,0.25,cuda_counting_sort,412864,24910.8,true
AlmostInverted,4,0.25,cuda_radix_sort,590424,51224.4,true
AlmostInverted,4,0.25,cuda_heap_sort,0,0,true
AlmostInverted,4,0.25,cuda_insertion_sort,0,0,true
AlmostInverted,4,0.25,cuda_selection_sort,0,0,true
AlmostInverted,4,0.25,cuda_shell_sort,0,0,true
AlmostInverted,4,0.333333,cuda_bubble_sort,694586,15919.8,true
AlmostInverted,4,0.333333,cuda_merge_sort,462746,15469.2,true
AlmostInverted,4,0.333333,cuda_counting_sort,414176,25073.8,true
AlmostInverted,4,0.333333,cuda_radix_sort,589790,35765.2,true
AlmostInverted,4,0.333333,cuda_heap_sort,0,0,true
AlmostInverted,4,0.333333,cuda_insertion_sort,0,0,true
AlmostInverted,4,0.333333,cuda_selection_sort,0,0,true
AlmostInverted,4,0.333333,cuda_shell_sort,0,0,true
AlmostInverted,4,0.416667,cuda_bubble_sort,687567,19592.2,true
AlmostInverted,4,0.416667,cuda_merge_sort,464098,17883.7,true
AlmostInverted,4,0.416667,cuda_counting_sort,415806,19795.6,true
AlmostInverted,4,0.416667,cuda_radix_sort,588600,49251.9,true
AlmostInverted,4,0.416667,cuda_heap_sort,0,0,true
AlmostInverted,4,0.416667,cuda_insertion_sort,0,0,true
AlmostInverted,4,0.416667,cuda_selection_sort,0,0,true
AlmostInverted,4,0.416667,cuda_shell_sort,0,0,true
AlmostInverted,8,0,cuda_bubble_sort,1.87777e+06,30633.9,true
