DataType,Size,Ratio,Algorithm,MeanTime(ns),StdDeviation(ns),AllSorted
AlmostSorted,2,0,bubble_sort,132,145.884,true
AlmostSorted,2,0,merge_sort,568,678.873,true
AlmostSorted,2,0,counting_sort,174,123.089,true
AlmostSorted,2,0,radix_sort,310,237.381,true
AlmostSorted,2,0,heap_sort,218,209.095,true
AlmostSorted,2,0,insertion_sort,134,119.858,true
AlmostSorted,2,0,selection_sort,132,102.45,true
AlmostSorted,2,0,shell_sort,216,100.855,true
AlmostSorted,2,0.0833333,bubble_sort,114,30.8459,true
AlmostSorted,2,0.0833333,merge_sort,396,64.9266,true
AlmostSorted,2,0.0833333,counting_sort,146,23.278,true
AlmostSorted,2,0.0833333,radix_sort,218,35.4777,true
AlmostSorted,2,0.0833333,heap_sort,160,23.3695,true
AlmostSorted,2,0.0833333,insertion_sort,96,16.5247,true
AlmostSorted,2,0.0833333,selection_sort,106,27.9428,true
AlmostSorted,2,0.0833333,shell_sort,160,20.2386,true
AlmostSorted,2,0.166667,bubble_sort,96,20.2386,true
AlmostSorted,2,0.166667,merge_sort,362,34.5022,true
AlmostSorted,2,0.166667,counting_sort,128,23.3695,true
AlmostSorted,2,0.166667,radix_sort,210.062,30.8771,true
AlmostSorted,2,0.166667,heap_sort,154,26.6933,true
AlmostSorted,2,0.166667,insertion_sort,92,23.0014,true
AlmostSorted,2,0.166667,selection_sort,102,17.405,true
AlmostSorted,2,0.166667,shell_sort,154,20.9635,true
AlmostSorted,2,0.25,bubble_sort,90,24,true
AlmostSorted,2,0.25,merge_sort,360.125,31.9685,true
AlmostSorted,2,0.25,counting_sort,132,32.7902,true
AlmostSorted,2,0.25,radix_sort,220,36.7188,true
AlmostSorted,2,0.25,heap_sort,142,26.0461,true
AlmostSorted,2,0.25,insertion_sort,90,17.405,true
AlmostSorted,2,0.25,selection_sort,106,19.2666,true
AlmostSorted,2,0.25,shell_sort,158,21.7624,true
AlmostSorted,2,0.333333,bubble_sort,78,16.3951,true
AlmostSorted,2,0.333333,merge_sort,346.062,39.0939,true
AlmostSorted,2,0.333333,counting_sort,116,25.7992,true
AlmostSorted,2,0.333333,radix_sort,220,28.322,true
AlmostSorted,2,0.333333,heap_sort,168,32,true
AlmostSorted,2,0.333333,insertion_sort,86,19.2666,true
AlmostSorted,2,0.333333,selection_sort,106,19.2666,true
AlmostSorted,2,0.333333,shell_sort,158,18.3594,true
AlmostSorted,2,0.416667,bubble_sort,90,20.9635,true
AlmostSorted,2,0.416667,merge_sort,346,26.6933,true
AlmostSorted,2,0.416667,counting_sort,134,33.4983,true
AlmostSorted,2,0.416667,radix_sort,212,32.7902,true
AlmostSorted,2,0.416667,heap_sort,142,23.278,true
AlmostSorted,2,0.416667,insertion_sort,92,19.8125,true
AlmostSorted,2,0.416667,selection_sort,102,12.8996,true
AlmostSorted,2,0.416667,shell_sort,146,16.3951,true
AlmostSorted,4,0,bubble_sort,118,82.3909,true
AlmostSorted,4,0,merge_sort,972,317.188,true
AlmostSorted,4,0,counting_sort,156,43.5247,true
AlmostSorted,4,0,radix_sort,358,159.88,true
AlmostSorted,4,0,heap_sort,280,66.6133,true
AlmostSorted,4,0,insertion_sort,118,55.6944,true
AlmostSorted,4,0,selection_sort,168,36.0148,true
AlmostSorted,4,0,shell_sort,170,27.9428,true
AlmostSorted,4,0.0833333,bubble_sort,148,43.5247,true
AlmostSorted,4,0.0833333,merge_sort,894.062,46.0528,true
AlmostSorted,4,0.0833333,counting_sort,136,24.7871,true
AlmostSorted,4,0.0833333,radix_sort,378,111.599,true
AlmostSorted,4,0.0833333,heap_sort,282,31.3943,true
AlmostSorted,4,0.0833333,insertion_sort,142,23.278,true
AlmostSorted,4,0.0833333,selection_sort,176,28.6217,true
AlmostSorted,4,0.0833333,shell_sort,194,39.571,true
AlmostSorted,4,0.166667,bubble_sort,134,29.1387,true
AlmostSorted,4,0.166667,merge_sort,894.062,39.4672,true
AlmostSorted,4,0.166667,counting_sort,118.062,19.3027,true
AlmostSorted,4,0.166667,radix_sort,322,41.2602,true
AlmostSorted,4,0.166667,heap_sort,268,32.7902,true
AlmostSorted,4,0.166667,insertion_sort,126,24.7009,true
AlmostSorted,4,0.166667,selection_sort,164,23.0014,true
AlmostSorted,4,0.166667,shell_sort,182,32.4633,true
AlmostSorted,4,0.25,bubble_sort,160,26.1279,true
AlmostSorted,4,0.25,merge_sort,920.125,67.773,true
AlmostSorted,4,0.25,counting_sort,156,28.322,true
AlmostSorted,4,0.25,radix_sort,366,59.5449,true
AlmostSorted,4,0.25,heap_sort,260,55.8856,true
AlmostSorted,4,0.25,insertion_sort,158,31.9333,true
AlmostSorted,4,0.25,selection_sort,184,34.0666,true
AlmostSorted,4,0.25,shell_sort,196,36.7188,true
AlmostSorted,4,0.333333,bubble_sort,140,32.7902,true
AlmostSorted,4,0.333333,merge_sort,900.188,66.0234,true
AlmostSorted,4,0.333333,counting_sort,138,25.3824,true
AlmostSorted,4,0.333333,radix_sort,300,38.5331,true
AlmostSorted,4,0.333333,heap_sort,242,46.6933,true
AlmostSorted,4,0.333333,insertion_sort,130,21.7624,true
AlmostSorted,4,0.333333,selection_sort,164,30.6377,true
AlmostSorted,4,0.333333,shell_sort,178,26.0461,true
AlmostSorted,4,0.416667,bubble_sort,150,22.5329,true
AlmostSorted,4,0.416667,merge_sort,934.062,61.06,true
AlmostSorted,4,0.416667,counting_sort,140.062,23.0607,true
AlmostSorted,4,0.416667,radix_sort,308.062,41.9467,true
AlmostSorted,4,0.416667,heap_sort,224,40.4772,true
AlmostSorted,4,0.416667,insertion_sort,124,23.0014,true
AlmostSorted,4,0.416667,selection_sort,160,28.6217,true
AlmostSorted,4,0.416667,shell_sort,184,32,true
AlmostSorted,8,0,bubble_sort,130,39.571,true
AlmostSorted,8,0,merge_sort,1874.06,179.462,true
AlmostSorted,8,0,counting_sort,206,58.3872,true
AlmostSorted,8,0,radix_sort,608.125,156.563,true
AlmostSorted,8,0,heap_sort,540,96.9728,true
AlmostSorted,8,0,insertion_sort,158,31.9333,true
AlmostSorted,8,0,selection_sort,396,144.945,true
AlmostSorted,8,0,shell_sort,266,66.8371,true
AlmostSorted,8,0.0833333,bubble_sort,220.062,54.6559,true
AlmostSorted,8,0.0833333,merge_sort,1944.06,67.544,true
AlmostSorted,8,0.0833333,counting_sort,184.062,29.8093,true
AlmostSorted,8,0.0833333,radix_sort,794,120.991,true
AlmostSorted,8,0.0833333,heap_sort,560,101.193,true
AlmostSorted,8,0.0833333,insertion_sort,200,29.7904,true
AlmostSorted,8,0.0833333,selection_sort,408.125,50.2379,true
AlmostSorted,8,0.0833333,shell_sort,306,53.5064,true
AlmostSorted,8,0.166667,bubble_sort,276,28.322,true
AlmostSorted,8,0.166667,merge_sort,2096.06,85.7784,true
AlmostSorted,8,0.166667,counting_sort,192,30.9149,true
AlmostSorted,8,0.166667,radix_sort,800.062,135.875,true
AlmostSorted,8,0.166667,heap_sort,596,70.9554,true
AlmostSorted,8,0.166667,insertion_sort,242,42.0793,true
AlmostSorted,8,0.166667,selection_sort,422,45.5836,true
AlmostSorted,8,0.166667,shell_sort,418.125,62.4103,true
AlmostSorted,8,0.25,bubble_sort,274,46.6933,true
AlmostSorted,8,0.25,merge_sort,2084.06,63.9296,true
AlmostSorted,8,0.25,counting_sort,198.062,23.9846,true
AlmostSorted,8,0.25,radix_sort,684,143.525,true
AlmostSorted,8,0.25,heap_sort,532,96.2663,true
AlmostSorted,8,0.25,insertion_sort,250,42.4829,true
AlmostSorted,8,0.25,selection_sort,356,70.9554,true
AlmostSorted,8,0.25,shell_sort,356,52.0922,true
AlmostSorted,8,0.333333,bubble_sort,354.062,31.9301,true
AlmostSorted,8,0.333333,merge_sort,2162.12,69.0631,true
AlmostSorted,8,0.333333,counting_sort,190,27.3252,true
AlmostSorted,8,0.333333,radix_sort,800,124.211,true
AlmostSorted,8,0.333333,heap_sort,576.062,49.6178,true
AlmostSorted,8,0.333333,insertion_sort,268,45.0659,true
AlmostSorted,8,0.333333,selection_sort,422.062,59.8604,true
AlmostSorted,8,0.333333,shell_sort,390,51.225,true
AlmostSorted,8,0.416667,bubble_sort,372.062,66.9452,true
AlmostSorted,8,0.416667,merge_sort,2098.06,96.9828,true
AlmostSorted,8,0.416667,counting_sort,182.062,34.5224,true
AlmostSorted,8,0.416667,radix_sort,796,88.8924,true
AlmostSorted,8,0.416667,heap_sort,574.062,56.5715,true
AlmostSorted,8,0.416667,insertion_sort,282,42.4829,true
AlmostSorted,8,0.416667,selection_sort,456.062,67.6229,true
AlmostSorted,8,0.416667,shell_sort,452,58.2775,true
AlmostSorted,16,0,bubble_sort,172,40.2658,true
AlmostSorted,16,0,merge_sort,4118.12,163.203,true
AlmostSorted,16,0,counting_sort,310,36.4271,true
AlmostSorted,16,0,radix_sort,1058,151.212,true
AlmostSorted,16,0,heap_sort,1128.12,193.852,true
AlmostSorted,16,0,insertion_sort,228,46.5561,true
AlmostSorted,16,0,selection_sort,980,80.8488,true
AlmostSorted,16,0,shell_sort,458.062,78.9991,true
AlmostSorted,16,0.0833333,bubble_sort,470.062,93.257,true
AlmostSorted,16,0.0833333,merge_sort,4368.06,177.623,true
AlmostSorted,16,0.0833333,counting_sort,282,31.3943,true
AlmostSorted,16,0.0833333,radix_sort,1470.06,162.107,true
AlmostSorted,16,0.0833333,heap_sort,1432,179.314,true
AlmostSorted,16,0.0833333,insertion_sort,356,48,true
AlmostSorted,16,0.0833333,selection_sort,1046.06,85.6991,true
AlmostSorted,16,0.0833333,shell_sort,712.062,54.1313,true
AlmostSorted,16,0.166667,bubble_sort,612,73.7853,true
AlmostSorted,16,0.166667,merge_sort,4498.06,128.507,true
AlmostSorted,16,0.166667,counting_sort,292,25.7992,true
