DataType,Size,Ratio,Algorithm,MeanTime(ns),StdDeviation(ns),AllSorted
AlmostSorted,2,0,cuda_bubble_sort,7.02205e+06,2.33722e+07,true
AlmostSorted,2,0,cuda_merge_sort,1.25474e+06,168230,true
AlmostSorted,2,0,cuda_counting_sort,1.23426e+06,23957.5,true
AlmostSorted,2,0,cuda_radix_sort,1.21632e+06,55148.7,true
AlmostSorted,2,0,cuda_heap_sort,0,0,true
AlmostSorted,2,0,cuda_insertion_sort,0,0,true
AlmostSorted,2,0,cuda_selection_sort,0,0,true
AlmostSorted,2,0,cuda_shell_sort,0,0,true
AlmostSorted,2,0.0833333,cuda_bubble_sort,1.25718e+06,39628.5,true
AlmostSorted,2,0.0833333,cuda_merge_sort,1.25279e+06,26202,true
AlmostSorted,2,0.0833333,cuda_counting_sort,1.26904e+06,47187.8,true
AlmostSorted,2,0.0833333,cuda_radix_sort,1.32231e+06,45173.2,true
AlmostSorted,2,0.0833333,cuda_heap_sort,0,0,true
AlmostSorted,2,0.0833333,cuda_insertion_sort,0,0,true
AlmostSorted,2,0.0833333,cuda_selection_sort,0,0,true
AlmostSorted,2,0.0833333,cuda_shell_sort,0,0,true
AlmostSorted,2,0.166667,cuda_bubble_sort,1.31466e+06,178014,true
AlmostSorted,2,0.166667,cuda_merge_sort,1.26929e+06,42130.9,true
AlmostSorted,2,0.166667,cuda_counting_sort,1.29413e+06,38395.7,true
AlmostSorted,2,0.166667,cuda_radix_sort,1.37347e+06,56307.1,true
AlmostSorted,2,0.166667,cuda_heap_sort,0,0,true
AlmostSorted,2,0.166667,cuda_insertion_sort,0,0,true
AlmostSorted,2,0.166667,cuda_selection_sort,0,0,true
AlmostSorted,2,0.166667,cuda_shell_sort,0,0,true
AlmostSorted,2,0.25,cuda_bubble_sort,1.27057e+06,23092.8,true
AlmostSorted,2,0.25,cuda_merge_sort,1.25953e+06,21458,true
AlmostSorted,2,0.25,cuda_counting_sort,1.27976e+06,43678.2,true
AlmostSorted,2,0.25,cuda_radix_sort,1.34448e+06,43372.2,true
AlmostSorted,2,0.25,cuda_heap_sort,0,0,true
AlmostSorted,2,0.25,cuda_insertion_sort,0,0,true
AlmostSorted,2,0.25,cuda_selection_sort,0,0,true
AlmostSorted,2,0.25,cuda_shell_sort,0,0,true
AlmostSorted,2,0.333333,cuda_bubble_sort,1.26542e+06,15460.5,true
AlmostSorted,2,0.333333,cuda_merge_sort,1.25644e+06,20368.2,true
AlmostSorted,2,0.333333,cuda_counting_sort,1.2736e+06,27671.5,true
AlmostSorted,2,0.333333,cuda_radix_sort,1.33609e+06,36610.3,true
AlmostSorted,2,0.333333,cuda_heap_sort,0,0,true
AlmostSorted,2,0.333333,cuda_insertion_sort,0,0,true
AlmostSorted,2,0.333333,cuda_selection_sort,0,0,true
AlmostSorted,2,0.333333,cuda_shell_sort,0,0,true
AlmostSorted,2,0.416667,cuda_bubble_sort,1.26355e+06,34755.6,true
AlmostSorted,2,0.416667,cuda_merge_sort,1.25387e+06,17582.6,true
AlmostSorted,2,0.416667,cuda_counting_sort,1.27163e+06,19890,true
AlmostSorted,2,0.416667,cuda_radix_sort,1.34118e+06,31363.7,true
AlmostSorted,2,0.416667,cuda_heap_sort,0,0,true
AlmostSorted,2,0.416667,cuda_insertion_sort,0,0,true
AlmostSorted,2,0.416667,cuda_selection_sort,0,0,true
AlmostSorted,2,0.416667,cuda_shell_sort,0,0,true
AlmostSorted,4,0,cuda_bubble_sort,693790,25906.9,true
AlmostSorted,4,0,cuda_merge_sort,494533,91169.8,true
AlmostSorted,4,0,cuda_counting_sort,432791,49401.4,true
AlmostSorted,4,0,cuda_radix_sort,601142,68027.6,true
AlmostSorted,4,0,cuda_heap_sort,0,0,true
AlmostSorted,4,0,cuda_insertion_sort,0,0,true
AlmostSorted,4,0,cuda_selection_sort,0,0,true
AlmostSorted,4,0,cuda_shell_sort,0,0,true
AlmostSorted,4,0.0833333,cuda_bubble_sort,697740,39205.1,true
AlmostSorted,4,0.0833333,cuda_merge_sort,472606,16295.4,true
AlmostSorted,4,0.0833333,cuda_counting_sort,420598,29317.5,true
AlmostSorted,4,0.0833333,cuda_radix_sort,593414,21923.3,true
AlmostSorted,4,0.0833333,cuda_heap_sort,0,0,true
AlmostSorted,4,0.0833333,cuda_insertion_sort,0,0,true
AlmostSorted,4,0.0833333,cuda_selection_sort,0,0,true
AlmostSorted,4,0.0833333,cuda_shell_sort,0,0,true
AlmostSorted,4,0.166667,cuda_bubble_sort,694676,22597.6,true
AlmostSorted,4,0.166667,cuda_merge_sort,472820,20294.3,true
AlmostSorted,4,0.166667,cuda_counting_sort,416328,27650.4,true
AlmostSorted,4,0.166667,cuda_radix_sort,584214,35471.5,true
AlmostSorted,4,0.166667,cuda_heap_sort,0,0,true
AlmostSorted,4,0.166667,cuda_insertion_sort,0,0,true
AlmostSorted,4,0.166667,cuda_selection_sort,0,0,true
AlmostSorted,4,0.166667,cuda_shell_sort,0,0,true
AlmostSorted,4,0.25,cuda_bubble_sort,689487,19127.1,true
AlmostSorted,4,0.25,cuda_merge_sort,464044,26507.8,true
AlmostSorted,4,0.25,cuda_counting_sort,429095,42038.6,true
AlmostSorted,4,0.25,cuda_radix_sort,580122,40769.7,true
AlmostSorted,4,0.25,cuda_heap_sort,0,0,true
AlmostSorted,4,0.25,cuda_insertion_sort,0,0,true
AlmostSorted,4,0.25,cuda_selection_sort,0,0,true
AlmostSorted,4,0.25,cuda_shell_sort,0,0,true
AlmostSorted,4,0.333333,cuda_bubble_sort,691490,16578.8,true
AlmostSorted,4,0.333333,cuda_merge_sort,467414,15924.1,true
AlmostSorted,4,0.333333,cuda_counting_sort,423627,30166.5,true
AlmostSorted,4,0.333333,cuda_radix_sort,614283,86355.1,true
AlmostSorted,4,0.333333,cuda_heap_sort,0,0,true
AlmostSorted,4,0.333333,cuda_insertion_sort,0,0,true
AlmostSorted,4,0.333333,cuda_selection_sort,0,0,true
AlmostSorted,4,0.333333,cuda_shell_sort,0,0,true
AlmostSorted,4,0.416667,cuda_bubble_sort,695452,33193.7,true
AlmostSorted,4,0.416667,cuda_merge_sort,458292,10529.1,true
AlmostSorted,4,0.416667,cuda_counting_sort,413240,30864.6,true
AlmostSorted,4,0.416667,cuda_radix_sort,611693,95622.2,true
AlmostSorted,4,0.416667,cuda_heap_sort,0,0,true
AlmostSorted,4,0.416667,cuda_insertion_sort,0,0,true
