DataType,Size,Algorithm,MeanTime(ns),StdDeviation(ns),AllSorted
Random,2,bubble_sort,100.062,32.7831,true
Random,2,merge_sort,374,40,true
Random,2,counting_sort,148,23.0014,true
Random,2,radix_sort,284,76.5106,true
Random,2,heap_sort,154,31.3943,true
Random,2,insertion_sort,102,24,true
Random,2,selection_sort,108,19.8125,true
Random,2,shell_sort,162,21.7624,true
Random,4,bubble_sort,192,50.9326,true
Random,4,merge_sort,902,56.3039,true
Random,4,counting_sort,210,36.8926,true
Random,4,radix_sort,496,72.9712,true
Random,4,heap_sort,272,40.4772,true
Random,4,insertion_sort,170,34.5022,true
Random,4,selection_sort,204,34.81,true
Random,4,shell_sort,216,34.0666,true
Random,8,bubble_sort,516,93.3867,true
Random,8,merge_sort,2110.06,125.476,true
Random,8,counting_sort,316,46.5561,true
Random,8,radix_sort,1078.12,105.52,true
Random,8,heap_sort,628,76.5106,true
Random,8,insertion_sort,364,71.9111,true
Random,8,selection_sort,542.062,84.5904,true
Random,8,shell_sort,482,81.3486,true
Random,16,bubble_sort,1822.06,202.176,true
Random,16,merge_sort,4986.12,133.313,true
Random,16,counting_sort,540,45.0659,true
Random,16,radix_sort,2278,92.9057,true
Random,16,heap_sort,1496.06,89.4252,true
Random,16,insertion_sort,834,65.5479,true
Random,16,selection_sort,1382,67.3459,true
Random,16,shell_sort,1144,97.4118,true
Random,32,bubble_sort,6410.19,406.875,true
Random,32,merge_sort,10736.2,298.919,true
Random,32,counting_sort,946.125,82.6727,true
Random,32,radix_sort,5324.12,260.111,true
Random,32,heap_sort,3600.12,171.507,true
Random,32,insertion_sort,2194.12,190.907,true
Random,32,selection_sort,4048.19,111.934,true
Random,32,shell_sort,2736.06,223.261,true
Random,64,bubble_sort,23142.8,1078.16,true
Random,64,merge_sort,22148.8,330.453,true
Random,64,counting_sort,1694.06,102.16,true
Random,64,radix_sort,11638.3,387.19,true
Random,64,heap_sort,8654.31,358.574,true
Random,64,insertion_sort,6804.25,509.76,true
Random,64,selection_sort,12984.4,311.91,true
Random,64,shell_sort,6670.25,276.027,true
Random,128,bubble_sort,83344.8,3550.95,true
Random,128,merge_sort,46711.7,492.922,true
Random,128,counting_sort,3302.12,145.131,true
Random,128,radix_sort,27512.9,826.414,true
Random,128,heap_sort,20546.6,722.111,true
Random,128,insertion_sort,24098.9,2659.08,true
Random,128,selection_sort,45363.5,400.472,true
Random,128,shell_sort,15966.7,593.496,true
Random,256,bubble_sort,310720,7014.28,true
Random,256,merge_sort,99153.6,1398.52,true
Random,256,counting_sort,6584.12,258.946,true
Random,256,radix_sort,61866.1,1262.81,true
Random,256,heap_sort,47067.9,1308.52,true
Random,256,insertion_sort,90009,4881.62,true
Random,256,selection_sort,165300,650.318,true
Random,256,shell_sort,38569.3,736.909,true
